function,recommendation_type,candidate_label,portal_string,mu_t,sigma_t,ei,log_ei,pi,ucb,ucb_beta,ts,exploration_score,is_submission,seed,candidate_origin,stagnation_flag,why,selection_mode,consensus_frequency,n_seed_success
function_1,shadow_oldstyle,pool_000756,0.999911-0.086484,-1.4069895281557433e-05,1e-05,3.6107282736257206e-07,-14.834186161113413,0.07971514568345194,3.2506127941313404e-06,3.0,-8.595146595578024e-08,2.0132938576276577e-06,False,2,global,True,"mu_t=-1.40699e-05, sigma_t=1e-05, ei=3.61073e-07, pi=0.0797151, ucb=3.25061e-06, beta=3.00, ts=-8.59515e-08, explore=2.01329e-06",robust_consensus,1,5
function_2,chosen_submission,pool_003418,0.716439-0.857645,0.5265931752740967,0.04042343767107921,0.0003554637583258612,-7.94208725955531,0.023466984749593328,0.5966086231369998,3.0,0.6279682499539068,0.020440359590165724,True,1000,tr,True,"mu_t=0.526593, sigma_t=0.0404234, ei=0.000355464, pi=0.023467, ucb=0.596609, beta=3.00, ts=0.627968, explore=0.0204404",robust_consensus,1,5
function_2,primary_pareto_sigma,pool_001820,0.719154-0.586981,0.5253229590026776,0.041150041398615306,0.00036594427816448,-7.913029481605664,0.023701589982065712,0.596596921438641,3.0,0.6061100017371437,0.023898535678917,False,1000,global,True,"mu_t=0.525323, sigma_t=0.04115, ei=0.000365944, pi=0.0237016, ucb=0.596597, beta=3.00, ts=0.60611, explore=0.0238985",robust_consensus,1,5
function_2,trust_region_ts,pool_003418,0.716439-0.857645,0.5265931752740967,0.04042343767107921,0.0003554637583258612,-7.94208725955531,0.023466984749593328,0.5966086231369998,3.0,0.6279682499539068,0.020440359590165724,False,1000,tr,True,"mu_t=0.526593, sigma_t=0.0404234, ei=0.000355464, pi=0.023467, ucb=0.596609, beta=3.00, ts=0.627968, explore=0.0204404",robust_consensus,1,5
function_2,global_explore,pool_001566,0.083289-0.672293,0.008133221087305131,0.13359938484323414,1.0132917823761724e-07,-16.104891429283036,3.699327358569894e-06,0.23953414349573413,3.0,-0.006200835747279088,0.3129943390894948,False,1000,global,True,"mu_t=0.00813322, sigma_t=0.133599, ei=1.01329e-07, pi=3.69933e-06, ucb=0.239534, beta=3.00, ts=-0.00620084, explore=0.312994",robust_consensus,1,5
function_2,best_mu,pool_004193,0.712554-0.419063,0.5272957386359393,0.03958999475695723,0.0003263875883372403,-8.027424961524899,0.022163919862625343,0.5958676210263748,3.0,0.5350835719701127,0.06915014388358705,False,1000,elite,True,"mu_t=0.527296, sigma_t=0.03959, ei=0.000326388, pi=0.0221639, ucb=0.595868, beta=3.00, ts=0.535084, explore=0.0691501",robust_consensus,1,5
function_2,best_sigma,pool_000806,0.239568-0.821765,0.03192436401107429,0.1623813171129358,8.06229282090106e-06,-11.728312572804974,0.0001993360191759995,0.31317705545063307,3.0,-0.043888319496947825,0.2816805662848671,False,1000,global,True,"mu_t=0.0319244, sigma_t=0.162381, ei=8.06229e-06, pi=0.000199336, ucb=0.313177, beta=3.00, ts=-0.0438883, explore=0.281681",robust_consensus,1,5
function_2,best_logEI,pool_003589,0.720543-0.965477,0.5244119529599224,0.04156580051660788,0.0003675919774010606,-7.908536991983516,0.02358527691998916,0.5964060313119598,3.0,0.48791975373553453,0.0028280595585848034,False,1000,tr,True,"mu_t=0.524412, sigma_t=0.0415658, ei=0.000367592, pi=0.0235853, ucb=0.596406, beta=3.00, ts=0.48792, explore=0.00282806",robust_consensus,1,5
function_2,best_PI,pool_003877,0.718984-0.935740,0.5254217976665732,0.04110086908539452,0.0003655388888697088,-7.914137885338093,0.023703419813715546,0.5966105911577139,3.0,0.5766309595613175,0.005543158477117493,False,1000,tr,True,"mu_t=0.525422, sigma_t=0.0411009, ei=0.000365539, pi=0.0237034, ucb=0.596611, beta=3.00, ts=0.576631, explore=0.00554316",robust_consensus,1,5
function_2,best_UCB,pool_004417,0.717757-0.294460,0.5260563907902565,0.04075950931864203,0.0003615038040464845,-7.925237993470656,0.023645610791558642,0.5966539318217218,3.0,0.5327386212742604,0.05226321103635703,False,1000,elite,True,"mu_t=0.526056, sigma_t=0.0407595, ei=0.000361504, pi=0.0236456, ucb=0.596654, beta=3.00, ts=0.532739, explore=0.0522632",robust_consensus,1,5
function_2,best_exploration,pool_001566,0.083289-0.672293,0.008133221087305131,0.13359938484323414,1.0132917823761724e-07,-16.104891429283036,3.699327358569894e-06,0.23953414349573413,3.0,-0.006200835747279088,0.3129943390894948,False,1000,global,True,"mu_t=0.00813322, sigma_t=0.133599, ei=1.01329e-07, pi=3.69933e-06, ucb=0.239534, beta=3.00, ts=-0.00620084, explore=0.312994",robust_consensus,1,5
function_2,shadow_oldstyle,pool_000451,0.713584-0.264567,0.527245276315695,0.03979475664270209,0.00033617087127277507,-7.997890981811799,0.02264784481072164,0.5961718166956949,3.0,0.5774354565352707,0.04251294022527139,False,1000,global,True,"mu_t=0.527245, sigma_t=0.0397948, ei=0.000336171, pi=0.0226478, ucb=0.596172, beta=3.00, ts=0.577435, explore=0.0425129",robust_consensus,1,5
function_3,chosen_submission,pool_002337,0.003067-0.995270-0.997869,-0.8168696451902586,0.13888706678140875,0.02969773136619653,-3.516684621067512,0.3265312357877227,-0.5763101890106391,3.0,-0.9713494996293713,0.24897684982554885,True,2002,global,False,"mu_t=-0.81687, sigma_t=0.138887, ei=0.0296977, pi=0.326531, ucb=-0.57631, beta=3.00, ts=-0.971349, explore=0.248977",robust_consensus,1,5
function_3,primary_pareto_sigma,pool_002337,0.003067-0.995270-0.997869,-0.8168696451902586,0.13888706678140875,0.02969773136619653,-3.516684621067512,0.3265312357877227,-0.5763101890106391,3.0,-0.9713494996293713,0.24897684982554885,False,2002,global,False,"mu_t=-0.81687, sigma_t=0.138887, ei=0.0296977, pi=0.326531, ucb=-0.57631, beta=3.00, ts=-0.971349, explore=0.248977",robust_consensus,1,5
function_3,trust_region_ts,pool_003539,0.449136-0.455959-0.517615,-2.926134469203081,0.128977083797419,1.8048513878454153e-35,-150.38129082573647,6.442147499774017e-64,-2.7027396070538856,3.0,-2.6252660970640544,0.03716653469373257,False,2002,tr,False,"mu_t=-2.92613, sigma_t=0.128977, ei=1.80485e-35, pi=6.44215e-64, ucb=-2.70274, beta=3.00, ts=-2.62527, explore=0.0371665",robust_consensus,1,5
function_3,global_explore,pool_002896,0.985219-0.001274-0.695463,-1.5627997970049834,0.5866854449241246,0.0225841305706709,-3.7905078064912106,0.08412559415194858,-0.5466307983352474,3.0,-1.6672500348159582,1.5225463740073595,False,2002,global,False,"mu_t=-1.5628, sigma_t=0.586685, ei=0.0225841, pi=0.0841256, ucb=-0.546631, beta=3.00, ts=-1.66725, explore=1.52255",robust_consensus,1,5
function_3,best_mu,pool_000425,0.221782-0.675275-0.999972,-0.7438158305150762,0.05819310671550494,0.028912610875500514,-3.5434774165681016,0.5724196036594582,-0.6430224130335572,3.0,-0.7287308831888429,0.03699936233981645,False,2002,global,False,"mu_t=-0.743816, sigma_t=0.0581931, ei=0.0289126, pi=0.57242, ucb=-0.643022, beta=3.00, ts=-0.728731, explore=0.0369994",robust_consensus,1,5
function_3,best_sigma,pool_000856,0.776490-0.000708-0.866464,-1.5647930907777514,0.5867218267997709,0.022422557236139205,-3.7976878073546043,0.08361538102014675,-0.5485610768509213,3.0,-1.7258790096970744,1.1286515295736876,False,2002,global,False,"mu_t=-1.56479, sigma_t=0.586722, ei=0.0224226, pi=0.0836154, ucb=-0.548561, beta=3.00, ts=-1.72588, explore=1.12865",robust_consensus,1,5
function_3,best_logEI,pool_001036,0.516383-0.223112-0.999423,-1.0651809772997134,0.3639779231064938,0.03975887378522624,-3.224922222916205,0.19662438024607595,-0.43475272164587364,3.0,-1.0754470913657082,0.3840576823298847,False,2002,global,False,"mu_t=-1.06518, sigma_t=0.363978, ei=0.0397589, pi=0.196624, ucb=-0.434753, beta=3.00, ts=-1.07545, explore=0.384058",robust_consensus,1,5
function_3,best_PI,pool_000425,0.221782-0.675275-0.999972,-0.7438158305150762,0.05819310671550494,0.028912610875500514,-3.5434774165681016,0.5724196036594582,-0.6430224130335572,3.0,-0.7287308831888429,0.03699936233981645,False,2002,global,False,"mu_t=-0.743816, sigma_t=0.0581931, ei=0.0289126, pi=0.57242, ucb=-0.643022, beta=3.00, ts=-0.728731, explore=0.0369994",robust_consensus,1,5
function_3,best_UCB,pool_001036,0.516383-0.223112-0.999423,-1.0651809772997134,0.3639779231064938,0.03975887378522624,-3.224922222916205,0.19662438024607595,-0.43475272164587364,3.0,-1.0754470913657082,0.3840576823298847,False,2002,global,False,"mu_t=-1.06518, sigma_t=0.363978, ei=0.0397589, pi=0.196624, ucb=-0.434753, beta=3.00, ts=-1.07545, explore=0.384058",robust_consensus,1,5
function_3,best_exploration,pool_002896,0.985219-0.001274-0.695463,-1.5627997970049834,0.5866854449241246,0.0225841305706709,-3.7905078064912106,0.08412559415194858,-0.5466307983352474,3.0,-1.6672500348159582,1.5225463740073595,False,2002,global,False,"mu_t=-1.5628, sigma_t=0.586685, ei=0.0225841, pi=0.0841256, ucb=-0.546631, beta=3.00, ts=-1.66725, explore=1.52255",robust_consensus,1,5
function_3,shadow_oldstyle,pool_000425,0.221782-0.675275-0.999972,-0.7438158305150762,0.05819310671550494,0.028912610875500514,-3.5434774165681016,0.5724196036594582,-0.6430224130335572,3.0,-0.7287308831888429,0.03699936233981645,False,2002,global,False,"mu_t=-0.743816, sigma_t=0.0581931, ei=0.0289126, pi=0.57242, ucb=-0.643022, beta=3.00, ts=-0.728731, explore=0.0369994",robust_consensus,1,5
function_4,chosen_submission,pool_003794,0.393712-0.379306-0.391271-0.374477,0.7338147821884338,0.2700532762127312,0.15428680458799776,-1.868942041170095,0.6207156117525756,1.201560777339305,3.0,1.37947724726699,0.06904908607986528,True,3000,tr,True,"mu_t=0.733815, sigma_t=0.270053, ei=0.154287, pi=0.620716, ucb=1.20156, beta=3.00, ts=1.37948, explore=0.0690491",robust_consensus,1,5
function_4,primary_pareto_sigma,pool_003669,0.404955-0.385944-0.402737-0.384483,0.7485171828349682,0.23793549053194116,0.15166824971819345,-1.8860597110513944,0.6593322854078589,1.1606335413602324,3.0,1.0072016126912664,0.058324993223314775,False,3000,tr,True,"mu_t=0.748517, sigma_t=0.237935, ei=0.151668, pi=0.659332, ucb=1.16063, beta=3.00, ts=1.0072, explore=0.058325",robust_consensus,1,5
function_4,trust_region_ts,pool_003794,0.393712-0.379306-0.391271-0.374477,0.7338147821884338,0.2700532762127312,0.15428680458799776,-1.868942041170095,0.6207156117525756,1.201560777339305,3.0,1.37947724726699,0.06904908607986528,False,3000,tr,True,"mu_t=0.733815, sigma_t=0.270053, ei=0.154287, pi=0.620716, ucb=1.20156, beta=3.00, ts=1.37948, explore=0.0690491",robust_consensus,1,5
function_4,global_explore,pool_000007,0.029157-0.300608-0.937105-0.991650,-14.415126215510107,3.1970777147310248,7.684805154775953e-07,-14.078850628254571,1.2240281586493851e-06,-8.877625177849797,3.0,-13.087086862763437,8.438567338773717,False,3000,global,True,"mu_t=-14.4151, sigma_t=3.19708, ei=7.68481e-07, pi=1.22403e-06, ucb=-8.87763, beta=3.00, ts=-13.0871, explore=8.43857",robust_consensus,1,5
function_4,best_mu,pool_003725,0.396002-0.391530-0.397124-0.392452,0.7611857316332902,0.20248030882144394,0.14767826943926848,-1.9127192266110675,0.7071622462174677,1.1118919140442132,3.0,0.513799243878743,0.04247044078247105,False,3000,tr,True,"mu_t=0.761186, sigma_t=0.20248, ei=0.147678, pi=0.707162, ucb=1.11189, beta=3.00, ts=0.513799, explore=0.0424704",robust_consensus,1,5
function_4,best_sigma,pool_002488,0.010399-0.894147-0.933110-0.007981,-14.694670403384585,3.2927831504410006,1.0305061847481682e-06,-13.78546043493748,1.5784551538165453e-06,-8.991402688514032,3.0,-15.37116296341689,7.306539548964466,False,3000,global,True,"mu_t=-14.6947, sigma_t=3.29278, ei=1.03051e-06, pi=1.57846e-06, ucb=-8.9914, beta=3.00, ts=-15.3712, explore=7.30654",robust_consensus,1,5
function_4,best_logEI,pool_003146,0.405552-0.367384-0.393968-0.382794,0.7403392600317282,0.26700336247514694,0.15721560906839152,-1.850137109588196,0.6313034793501763,1.202802649630366,3.0,0.8109166207516803,0.07235697361518552,False,3000,tr,True,"mu_t=0.740339, sigma_t=0.267003, ei=0.157216, pi=0.631303, ucb=1.2028, beta=3.00, ts=0.810917, explore=0.072357",robust_consensus,1,5
function_4,best_PI,pool_003725,0.396002-0.391530-0.397124-0.392452,0.7611857316332902,0.20248030882144394,0.14767826943926848,-1.9127192266110675,0.7071622462174677,1.1118919140442132,3.0,0.513799243878743,0.04247044078247105,False,3000,tr,True,"mu_t=0.761186, sigma_t=0.20248, ei=0.147678, pi=0.707162, ucb=1.11189, beta=3.00, ts=0.513799, explore=0.0424704",robust_consensus,1,5
function_4,best_UCB,pool_003930,0.408687-0.344337-0.387118-0.378850,0.6525244333177653,0.3288065202396805,0.13203332255208466,-2.0247009446778854,0.5020789106587576,1.2220340322327496,3.0,0.814154175806805,0.10278870937266778,False,3000,tr,True,"mu_t=0.652524, sigma_t=0.328807, ei=0.132033, pi=0.502079, ucb=1.22203, beta=3.00, ts=0.814154, explore=0.102789",robust_consensus,1,5
function_4,best_exploration,pool_000007,0.029157-0.300608-0.937105-0.991650,-14.415126215510107,3.1970777147310248,7.684805154775953e-07,-14.078850628254571,1.2240281586493851e-06,-8.877625177849797,3.0,-13.087086862763437,8.438567338773717,False,3000,global,True,"mu_t=-14.4151, sigma_t=3.19708, ei=7.68481e-07, pi=1.22403e-06, ucb=-8.87763, beta=3.00, ts=-13.0871, explore=8.43857",robust_consensus,1,5
function_4,shadow_oldstyle,pool_003146,0.405552-0.367384-0.393968-0.382794,0.7403392600317282,0.26700336247514694,0.15721560906839152,-1.850137109588196,0.6313034793501763,1.202802649630366,3.0,0.8109166207516803,0.07235697361518552,False,3000,tr,True,"mu_t=0.740339, sigma_t=0.267003, ei=0.157216, pi=0.631303, ucb=1.2028, beta=3.00, ts=0.810917, explore=0.072357",robust_consensus,1,5
function_5,chosen_submission,pool_003404,0.845847-0.999999-0.974543-0.999999,12.288564630275541,0.5837094438109635,0.27435989449559073,-1.2933145508984343,0.5536626905759536,13.299579043813912,3.0,12.51676103278043,0.11076892586606556,True,4000,tr,False,"mu_t=12.2886, sigma_t=0.583709, ei=0.27436, pi=0.553663, ucb=13.2996, beta=3.00, ts=12.5168, explore=0.110769",robust_consensus,1,5
function_5,primary_pareto_sigma,pool_003404,0.845847-0.999999-0.974543-0.999999,12.288564630275541,0.5837094438109635,0.27435989449559073,-1.2933145508984343,0.5536626905759536,13.299579043813912,3.0,12.51676103278043,0.11076892586606556,False,4000,tr,False,"mu_t=12.2886, sigma_t=0.583709, ei=0.27436, pi=0.553663, ucb=13.2996, beta=3.00, ts=12.5168, explore=0.110769",robust_consensus,1,5
function_5,trust_region_ts,pool_003531,0.866948-0.913153-0.963644-0.999999,12.243408272880309,0.712479215400935,0.30135310858255343,-1.1994725835842928,0.5188057903477268,13.477458473291556,3.0,13.557082693874085,0.22834516027436896,False,4000,tr,False,"mu_t=12.2434, sigma_t=0.712479, ei=0.301353, pi=0.518806, ucb=13.4775, beta=3.00, ts=13.5571, explore=0.228345",robust_consensus,1,5
function_5,global_explore,pool_002362,0.288188-0.122167-0.772438-0.990838,9.5766959816941,1.7469275162628148,0.050352840494681056,-2.988700246420131,0.06586906305686441,12.6024631970014,3.0,10.602305457323919,3.3896820506706242,False,4000,global,False,"mu_t=9.5767, sigma_t=1.74693, ei=0.0503528, pi=0.0658691, ucb=12.6025, beta=3.00, ts=10.6023, explore=3.38968",robust_consensus,1,5
function_5,best_mu,pool_003116,0.838839-0.999999-0.999999-0.999999,12.29142772281913,0.5492174966034339,0.2623297832392549,-1.3381528520845587,0.5590681117090329,13.242700331342084,3.0,12.6876250484877,0.09538105604990957,False,4000,tr,False,"mu_t=12.2914, sigma_t=0.549217, ei=0.26233, pi=0.559068, ucb=13.2427, beta=3.00, ts=12.6876, explore=0.0953811",robust_consensus,1,5
function_5,best_sigma,pool_000688,0.987560-0.195817-0.846967-0.966693,9.510995884160488,1.8431265639995484,0.058572309061219595,-2.837493235699558,0.07156162466166786,12.703384737787566,3.0,10.448512462385423,1.8348628982485196,False,4000,global,False,"mu_t=9.511, sigma_t=1.84313, ei=0.0585723, pi=0.0715616, ucb=12.7034, beta=3.00, ts=10.4485, explore=1.83486",robust_consensus,1,5
function_5,best_logEI,pool_003476,0.871205-0.998317-0.983711-0.999999,12.226580406485358,0.7428081263498751,0.30479820254349854,-1.1881053523540337,0.5090060742251046,13.513161821598382,3.0,12.343615427085494,0.1865860403274207,False,4000,tr,False,"mu_t=12.2266, sigma_t=0.742808, ei=0.304798, pi=0.509006, ucb=13.5132, beta=3.00, ts=12.3436, explore=0.186586",robust_consensus,1,5
function_5,best_PI,pool_003912,0.831514-0.992336-0.950657-0.999999,12.289078868085035,0.5175296447862937,0.24851593370751657,-1.3922483159536736,0.5608668830183615,13.185466507277956,3.0,12.010036861784672,0.09751407618882157,False,4000,tr,False,"mu_t=12.2891, sigma_t=0.51753, ei=0.248516, pi=0.560867, ucb=13.1855, beta=3.00, ts=12.01, explore=0.0975141",robust_consensus,1,5
function_5,best_UCB,pool_003476,0.871205-0.998317-0.983711-0.999999,12.226580406485358,0.7428081263498751,0.30479820254349854,-1.1881053523540337,0.5090060742251046,13.513161821598382,3.0,12.343615427085494,0.1865860403274207,False,4000,tr,False,"mu_t=12.2266, sigma_t=0.742808, ei=0.304798, pi=0.509006, ucb=13.5132, beta=3.00, ts=12.3436, explore=0.186586",robust_consensus,1,5
function_5,best_exploration,pool_002362,0.288188-0.122167-0.772438-0.990838,9.5766959816941,1.7469275162628148,0.050352840494681056,-2.988700246420131,0.06586906305686441,12.6024631970014,3.0,10.602305457323919,3.3896820506706242,False,4000,global,False,"mu_t=9.5767, sigma_t=1.74693, ei=0.0503528, pi=0.0658691, ucb=12.6025, beta=3.00, ts=10.6023, explore=3.38968",robust_consensus,1,5
function_5,shadow_oldstyle,pool_003764,0.865882-0.999999-0.996545-0.999999,12.24718152763747,0.7051036911331925,0.30037635496216486,-1.202719074033756,0.5211345289969773,13.468456945284505,3.0,12.512903625608171,0.16872031376627444,False,4000,tr,False,"mu_t=12.2472, sigma_t=0.705104, ei=0.300376, pi=0.521135, ucb=13.4685, beta=3.00, ts=12.5129, explore=0.16872",robust_consensus,1,5
function_6,chosen_submission,pool_001187,0.899172-0.861979-0.007778-0.155002-0.702744,1.8576444659147278,0.02525926063108192,0.09090636428385222,-2.3979252661257915,0.9998402125769488,1.9013947886894191,3.0,1.8226114927119694,0.014159290466529407,True,5000,global,False,"mu_t=1.85764, sigma_t=0.0252593, ei=0.0909064, pi=0.99984, ucb=1.90139, beta=3.00, ts=1.82261, explore=0.0141593",robust_consensus,1,5
function_6,primary_pareto_sigma,pool_001187,0.899172-0.861979-0.007778-0.155002-0.702744,1.8576444659147278,0.02525926063108192,0.09090636428385222,-2.3979252661257915,0.9998402125769488,1.9013947886894191,3.0,1.8226114927119694,0.014159290466529407,False,5000,global,False,"mu_t=1.85764, sigma_t=0.0252593, ei=0.0909064, pi=0.99984, ucb=1.90139, beta=3.00, ts=1.82261, explore=0.0141593",robust_consensus,1,5
function_6,trust_region_ts,pool_003591,0.389683-0.343629-0.575582-0.865319-0.153115,-0.990684475842718,0.11770049422587592,1.8048513878454153e-35,-283.794730761002,1.1221025103127707e-121,-0.7868212397675295,3.0,-0.6043166743305591,0.014746862392850906,False,5000,tr,False,"mu_t=-0.990684, sigma_t=0.1177, ei=1.80485e-35, pi=1.1221e-121, ucb=-0.786821, beta=3.00, ts=-0.604317, explore=0.0147469",robust_consensus,1,5
function_6,global_explore,pool_002137,0.328376-0.964500-0.237035-0.090782-0.002338,-0.00763442914754997,0.19260542651067664,3.2570534270099565e-22,-49.47604911596061,1.5933866009981567e-20,0.32596795538242057,3.0,0.0022842771756466703,0.3109091454998496,False,5000,global,False,"mu_t=-0.00763443, sigma_t=0.192605, ei=3.25705e-22, pi=1.59339e-20, ucb=0.325968, beta=3.00, ts=0.00228428, explore=0.310909",robust_consensus,1,5
function_6,best_mu,pool_001187,0.899172-0.861979-0.007778-0.155002-0.702744,1.8576444659147278,0.02525926063108192,0.09090636428385222,-2.3979252661257915,0.9998402125769488,1.9013947886894191,3.0,1.8226114927119694,0.014159290466529407,False,5000,global,False,"mu_t=1.85764, sigma_t=0.0252593, ei=0.0909064, pi=0.99984, ucb=1.90139, beta=3.00, ts=1.82261, explore=0.0141593",robust_consensus,1,5
function_6,best_sigma,pool_002137,0.328376-0.964500-0.237035-0.090782-0.002338,-0.00763442914754997,0.19260542651067664,3.2570534270099565e-22,-49.47604911596061,1.5933866009981567e-20,0.32596795538242057,3.0,0.0022842771756466703,0.3109091454998496,False,5000,global,False,"mu_t=-0.00763443, sigma_t=0.192605, ei=3.25705e-22, pi=1.59339e-20, ucb=0.325968, beta=3.00, ts=0.00228428, explore=0.310909",robust_consensus,1,5
function_6,best_logEI,pool_001187,0.899172-0.861979-0.007778-0.155002-0.702744,1.8576444659147278,0.02525926063108192,0.09090636428385222,-2.3979252661257915,0.9998402125769488,1.9013947886894191,3.0,1.8226114927119694,0.014159290466529407,False,5000,global,False,"mu_t=1.85764, sigma_t=0.0252593, ei=0.0909064, pi=0.99984, ucb=1.90139, beta=3.00, ts=1.82261, explore=0.0141593",robust_consensus,1,5
function_6,best_PI,pool_001187,0.899172-0.861979-0.007778-0.155002-0.702744,1.8576444659147278,0.02525926063108192,0.09090636428385222,-2.3979252661257915,0.9998402125769488,1.9013947886894191,3.0,1.8226114927119694,0.014159290466529407,False,5000,global,False,"mu_t=1.85764, sigma_t=0.0252593, ei=0.0909064, pi=0.99984, ucb=1.90139, beta=3.00, ts=1.82261, explore=0.0141593",robust_consensus,1,5
function_6,best_UCB,pool_001187,0.899172-0.861979-0.007778-0.155002-0.702744,1.8576444659147278,0.02525926063108192,0.09090636428385222,-2.3979252661257915,0.9998402125769488,1.9013947886894191,3.0,1.8226114927119694,0.014159290466529407,False,5000,global,False,"mu_t=1.85764, sigma_t=0.0252593, ei=0.0909064, pi=0.99984, ucb=1.90139, beta=3.00, ts=1.82261, explore=0.0141593",robust_consensus,1,5
function_6,best_exploration,pool_002137,0.328376-0.964500-0.237035-0.090782-0.002338,-0.00763442914754997,0.19260542651067664,3.2570534270099565e-22,-49.47604911596061,1.5933866009981567e-20,0.32596795538242057,3.0,0.0022842771756466703,0.3109091454998496,False,5000,global,False,"mu_t=-0.00763443, sigma_t=0.192605, ei=3.25705e-22, pi=1.59339e-20, ucb=0.325968, beta=3.00, ts=0.00228428, explore=0.310909",robust_consensus,1,5
